resource_id,resource_name,resource_url,description,format,type,runtime,subject_areas,authoring_organization,intended_audiences,content_soup
L000601112,metamorphosys rich release format browser search by code,https://www.nlm.nih.gov/research/umls/user_education/quick_tours/MMSys/MMSSearchByCode.html,tutorial that explains how to perform searches by code using the metamorphosys tool that is an essential part of umls distribution,MP4 Video,video tutorial,1.0,unified medical language system umls terminology,terminology services,everyone educator,metamorphosys rich release format browser search by code tutorial that explains how to perform searches by code using the metamorphosys tool that is an essential part of umls distribution unified medical language system umls terminology video tutorial everyone educator terminology services
L000921112,midday at the oasis what to do after you take data course,https://youtu.be/y_ZQwPYqDEQ,this is joint webinar of psr midday at the oasis and pnr rendezvous each of us hosts webinar on the third wednesday of the month summary there are many online and in person courses available for librarians to learn about research data management data analysis and visualization but after you have taken course how do you go about applying what you have learned while it is possible to just start offering classes and consultations your service will have better chance of becoming relevant if you consider stakeholders and review your institutional environment this lecture will give you some ideas to get started with data services at your institution presenter bio margaret henderson is the health sciences librarian at san diego state university library she is liaison to the college of health and human services and is also working with other librarians at sdsu to set up rdm services she is also one of the instructors for the â œbiomedical health research data management for librariansâ courses sponsored by the national library of medicine nlm and the national network of libraries of medicine training office nto previously she spent three and half years setting up rdm services at virginia commonwealth university libraries margaret has been biomedical librarian for over 30 years and is distinguished member of the academy of healthcare information professionals she has presented and written on many library topics over the years and wrote the book data management practical guide for librarians 2016 rowman littlefield,MP4 Video,webinar,55.0,data science,network of the national library of medicine,everyone,midday at the oasis what to do after you take data course this is joint webinar of psr midday at the oasis and pnr rendezvous each of us hosts webinar on the third wednesday of the month summary there are many online and in person courses available for librarians to learn about research data management data analysis and visualization but after you have taken course how do you go about applying what you have learned while it is possible to just start offering classes and consultations your service will have better chance of becoming relevant if you consider stakeholders and review your institutional environment this lecture will give you some ideas to get started with data services at your institution presenter bio margaret henderson is the health sciences librarian at san diego state university library she is liaison to the college of health and human services and is also working with other librarians at sdsu to set up rdm services she is also one of the instructors for the â œbiomedical health research data management for librariansâ courses sponsored by the national library of medicine nlm and the national network of libraries of medicine training office nto previously she spent three and half years setting up rdm services at virginia commonwealth university libraries margaret has been biomedical librarian for over 30 years and is distinguished member of the academy of healthcare information professionals she has presented and written on many library topics over the years and wrote the book data management practical guide for librarians 2016 rowman littlefield data science webinar everyone network of the national library of medicine
L002885112,my bibliography,https://youtu.be/SpFcC0eRk8Q,brief introduction to the new my bibliography page released in may 2019,MP4 Video,youtube video,2.0,my ncbi public access,training team ncbi,everyone,my bibliography brief introduction to the new my bibliography page released in may 2019 my ncbi public access youtube video everyone training team ncbi
L001535112,my ncbi,https://www.youtube.com/watch?v=fTlGVPXLXeE,this is an updated introduction to your free my ncbi account learn how to navigate and change settings for your saved pubmed searches collections my bibliography blast searches and more,MP4 Video,youtube video,Unknown,my ncbi,training team ncbi,everyone,my ncbi this is an updated introduction to your free my ncbi account learn how to navigate and change settings for your saved pubmed searches collections my bibliography blast searches and more my ncbi youtube video everyone training team ncbi
L005001112,ncbi blast comparing sequences an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/blast-compar/launch.html,this interactive tutorial walks you through simply blast to compare sequences allow pop ups to use this navigator,HTML,nlm navigator,10.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi blast comparing sequences an nlm navigator this interactive tutorial walks you through simply blast to compare sequences allow pop ups to use this navigator genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L004583112,ncbi blast identifying sequences an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/blast-ident/launch.html,this interactive tutorial walks you through your first blast to identify the source of dna or rna sequence,HTML,nlm navigator,15.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi blast identifying sequences an nlm navigator this interactive tutorial walks you through your first blast to identify the source of dna or rna sequence genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L005285112,ncbi bookshelf advanced searching,https://youtu.be/iY4MoZ_Tzr4,specify your fields to build an advanced search of the bookshelf in this example we look for comparative effectiveness review by the agency for healthcare research and quality on treatments for alzheimer type dementia,MP4 Video,youtube video,2.0,bookshelf,training team user engagement program,everyone,ncbi bookshelf advanced searching specify your fields to build an advanced search of the bookshelf in this example we look for comparative effectiveness review by the agency for healthcare research and quality on treatments for alzheimer type dementia bookshelf youtube video everyone training team user engagement program
L005281112,ncbi bookshelf browsing,https://youtu.be/G4nIPDsQ06U,use the browse feature to find books or documents on the bookshelf by title or author in this example we look for biology textbooks,MP4 Video,youtube video,2.0,bookshelf,training team user engagement program,everyone,ncbi bookshelf browsing use the browse feature to find books or documents on the bookshelf by title or author in this example we look for biology textbooks bookshelf youtube video everyone training team user engagement program
L005284112,ncbi bookshelf inside book,https://youtu.be/fRikaDq6X40,explore book features including navigating chapters defining terms exploring references searching within text citing book and using the pdf in this example we explore the genereview for hfe hemochromatosis,MP4 Video,youtube video,4.0,bookshelf,training team user engagement program,everyone,ncbi bookshelf inside book explore book features including navigating chapters defining terms exploring references searching within text citing book and using the pdf in this example we explore the genereview for hfe hemochromatosis bookshelf youtube video everyone training team user engagement program
L005282112,ncbi bookshelf searching,https://youtu.be/7o_ai-vUA6o,search to find topic anywhere in the text of book or document on the bookshelf in this example we look for information about the cell receptor,MP4 Video,youtube video,1.0,bookshelf,training team user engagement program,everyone,ncbi bookshelf searching search to find topic anywhere in the text of book or document on the bookshelf in this example we look for information about the cell receptor bookshelf youtube video everyone training team user engagement program
L005283112,ncbi bookshelf using filters,https://youtu.be/AWogiEefht4,use filters to narrow bookshelf search by date or type of resource in this example we look for current reports on otitis media,MP4 Video,youtube video,1.0,bookshelf,training team user engagement program,everyone,ncbi bookshelf using filters use filters to narrow bookshelf search by date or type of resource in this example we look for current reports on otitis media bookshelf youtube video everyone training team user engagement program
L004641112,ncbi clinvar clinical variation an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/clinvar/launch.html,this tutorial guides you through finding relevant genetic variations associated with human health and the evidence linking the variation to clinical observations,HTML,nlm navigator,10.0,genetics and molecular biology bioinformatics clinical medicine,training team user engagement program,everyone,ncbi clinvar clinical variation an nlm navigator this tutorial guides you through finding relevant genetic variations associated with human health and the evidence linking the variation to clinical observations genetics and molecular biology bioinformatics clinical medicine nlm navigator everyone training team user engagement program
L004988112,ncbi clinical databases biology review,https://youtu.be/LJkImqHlf7Y,this video reviews some biology basics important to using ncbi clinical databases,MP4 Video,youtube video,7.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi clinical databases biology review this video reviews some biology basics important to using ncbi clinical databases genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004989112,ncbi clinical databases overview,https://youtu.be/pOu66gNjlAw,this video provides an overview of three ncbi clinical databases medgen clinvar and genetic testing registry gtr,MP4 Video,youtube video,3.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi clinical databases overview this video provides an overview of three ncbi clinical databases medgen clinvar and genetic testing registry gtr genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L001901112,ncbi datasets colab presentation ashg2020,https://youtu.be/79IakxFuNaQ,this video is an introduction to and tutorial for the datasets resource at the national center for biotechnology information ncbi,MP4 Video,youtube video,13.0,genetics and molecular biology bioinformatics data science,training team ncbi,everyone,ncbi datasets colab presentation ashg2020 this video is an introduction to and tutorial for the datasets resource at the national center for biotechnology information ncbi genetics and molecular biology bioinformatics data science youtube video everyone training team ncbi
L004974112,ncbi gene part 1 of 5 about the ncbi gene database,https://youtu.be/KC-2Q39wKys,this video describes the ncbi gene database and demonstrates basic search,MP4 Video,youtube video,3.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene part 1 of 5 about the ncbi gene database this video describes the ncbi gene database and demonstrates basic search genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004975112,ncbi gene part 2 of 5 find the gene in the genome,https://youtu.be/mY9weoPOt8M,in this video you will learn how to find gene in the genome and how to determine which genes fall in certain place in chromosome using the ncbi gene database,MP4 Video,youtube video,7.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene part 2 of 5 find the gene in the genome in this video you will learn how to find gene in the genome and how to determine which genes fall in certain place in chromosome using the ncbi gene database genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004976112,ncbi gene part 3 of 5 reference sequences,https://youtu.be/MqzvsQu51wU,in this video you will learn about the different types of sequences found in ncbi databases and how to find them using the gene database,MP4 Video,youtube video,15.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene part 3 of 5 reference sequences in this video you will learn about the different types of sequences found in ncbi databases and how to find them using the gene database genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004977112,ncbi gene part 4 of 5 find gene expression data,https://youtu.be/2gbE4Wk0nYQ,in this video peter cooper from ncbi explains how to find expression data for gene starting from the ncbi gene database,MP4 Video,youtube video,5.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene part 4 of 5 find gene expression data in this video peter cooper from ncbi explains how to find expression data for gene starting from the ncbi gene database genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004978112,ncbi gene part 5 of 5 gene variants and associations with disease,https://youtu.be/RYU1CuytqfM,in this video you will learn how to find important genetic variants using the ncbi gene database,MP4 Video,youtube video,9.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene part 5 of 5 gene variants and associations with disease in this video you will learn how to find important genetic variants using the ncbi gene database genetics and molecular biology bioinformatics youtube video everyone training team user engagement program
L004586112,ncbi gene finding gene expression data an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene-express/launch.html,this interactive tutorial shows how to find in what tissues and under what conditions gene is expressed and to find tissue specific expression of gene variants,HTML,nlm navigator,20.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene finding gene expression data an nlm navigator this interactive tutorial shows how to find in what tissues and under what conditions gene is expressed and to find tissue specific expression of gene variants genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L004587112,ncbi gene finding and exploring variations an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene-variation/launch.html,this interactive tutorial demonstrates how to find variations that are present in the gene and explore their known associations with disease using the ncbi gene database,HTML,nlm navigator,20.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene finding and exploring variations an nlm navigator this interactive tutorial demonstrates how to find variations that are present in the gene and explore their known associations with disease using the ncbi gene database genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L004584112,ncbi gene finding the gene in the genome an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene/launch.html,this interactive tutorial guides you through how to find the genes are involved in specific region of the genome given chromosomal location,HTML,nlm navigator,10.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene finding the gene in the genome an nlm navigator this interactive tutorial guides you through how to find the genes are involved in specific region of the genome given chromosomal location genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L004585112,ncbi gene finding the reference sequences an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/gene-refseq/launch.html,this interactive tutorial shows how to use the ncbi gene database to find the reference genomic transcript and protein sequences for gene given the gene name or symbol and species,HTML,nlm navigator,15.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi gene finding the reference sequences an nlm navigator this interactive tutorial shows how to use the ncbi gene database to find the reference genomic transcript and protein sequences for gene given the gene name or symbol and species genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L004681112,ncbi genetic testing registry gtr finding genetic tests an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/gtr/launch.html,this interactive tutorial guides you through how to find genetic tests in the ncbi genetic testing registry or gtr,HTML,nlm navigator,5.0,genetics and molecular biology clinical medicine,training team user engagement program,everyone,ncbi genetic testing registry gtr finding genetic tests an nlm navigator this interactive tutorial guides you through how to find genetic tests in the ncbi genetic testing registry or gtr genetics and molecular biology clinical medicine nlm navigator everyone training team user engagement program
L00541080,ncbi learn,https://www.ncbi.nlm.nih.gov/home/learn/,the catalog of ncbi webinars and courses conferences and presentations tutorials and documentation note for pubmed resources see https www nlm nih gov bsd disted pubmed html,HTML,catalog or list of resources,Unknown,genetics and molecular biology bioinformatics,training team ncbi,everyone,ncbi learn the catalog of ncbi webinars and courses conferences and presentations tutorials and documentation note for pubmed resources see https www nlm nih gov bsd disted pubmed html genetics and molecular biology bioinformatics catalog or list of resources everyone training team ncbi
L004601112,ncbi medgen an nlm navigator,https://www.nlm.nih.gov/oet/ed/navigator/medgen/launch.html,this interactive tutorial provides tour of the ncbi medgen database which provides vocabulary background information and links to detailed information about medical genetics,HTML,nlm navigator,10.0,genetics and molecular biology bioinformatics,training team user engagement program,everyone,ncbi medgen an nlm navigator this interactive tutorial provides tour of the ncbi medgen database which provides vocabulary background information and links to detailed information about medical genetics genetics and molecular biology bioinformatics nlm navigator everyone training team user engagement program
L001537112,ncbi minute beginner guide to genes and sequences at ncbi,https://www.youtube.com/watch?v=QIZ8QH6JcC8,interested in learning about genes and sequences but don know how to begin this webinar intended for people with limited experience working with sequence information will provide you with basic knowledge on how to find and compare nucleotide and protein sequences you will learn about the kinds of data available for genes and sequences how to select the most informative records and how to find related genes and sequences using pre computed information and the blast sequence search service,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute beginner guide to genes and sequences at ncbi interested in learning about genes and sequences but don know how to begin this webinar intended for people with limited experience working with sequence information will provide you with basic knowledge on how to find and compare nucleotide and protein sequences you will learn about the kinds of data available for genes and sequences how to select the most informative records and how to find related genes and sequences using pre computed information and the blast sequence search service genetics and molecular biology youtube video everyone training team ncbi
L004081112,ncbi minute accessing ncbi amr pathogen data in the cloud,https://www.youtube.com/watch?v=j4dzFOo2FmI,this 30 minute webinar describes how to access antimicrobial resistance amr data from ncbi pathogen detection resource the pathogen detection team uses google bigquery to present tables of data in the cloud and this webinar shows you how to access these tables you will also learn about amrfinderplus and how it is used to identify anti microbial resistance genes point mutations variants and stress resistance genes,MP4 Video,youtube video,27.0,ncbi workshops,training team ncbi,everyone educator,ncbi minute accessing ncbi amr pathogen data in the cloud this 30 minute webinar describes how to access antimicrobial resistance amr data from ncbi pathogen detection resource the pathogen detection team uses google bigquery to present tables of data in the cloud and this webinar shows you how to access these tables you will also learn about amrfinderplus and how it is used to identify anti microbial resistance genes point mutations variants and stress resistance genes ncbi workshops youtube video everyone educator training team ncbi
L001536112,ncbi minute an insider guide to the new my bibliography,https://www.youtube.com/watch?v=DDHkAVQ5dDQ,my bibliography is central place to save and share your citations you can add pubmed citations create them manually or upload them from citation managers in this webinar you will learn how to navigate the new interface receive few helpful tips to make your experience easier get sneak peek of features under development and learn how you can help us improve my bibliography by providing feedback,MP4 Video,youtube video,Unknown,my ncbi,training team ncbi,everyone,ncbi minute an insider guide to the new my bibliography my bibliography is central place to save and share your citations you can add pubmed citations create them manually or upload them from citation managers in this webinar you will learn how to navigate the new interface receive few helpful tips to make your experience easier get sneak peek of features under development and learn how you can help us improve my bibliography by providing feedback my ncbi youtube video everyone training team ncbi
L002121112,ncbi minute changes are coming to the way you log into your ncbi account,https://www.youtube.com/watch?v=glwhkkWiq8U,shows how to register for free login gov account how to link this to an existing ncbi account and where to find the most up to date information and faqs on this topic,MP4 Video,youtube video,13.0,my ncbi other,training team ncbi,everyone educator,ncbi minute changes are coming to the way you log into your ncbi account shows how to register for free login gov account how to link this to an existing ncbi account and where to find the most up to date information and faqs on this topic my ncbi other youtube video everyone educator training team ncbi
L002887112,ncbi minute elasticblast new tool to help you run blast searches on the cloud,https://www.youtube.com/watch?v=4adTdV_patk,in this webinar you will learn about elasticblast new tool that runs your blast searches on cloud hardware using the standard blast command line package,MP4 Video,youtube video,29.0,genetics and molecular biology bioinformatics,training team ncbi,everyone,ncbi minute elasticblast new tool to help you run blast searches on the cloud in this webinar you will learn about elasticblast new tool that runs your blast searches on cloud hardware using the standard blast command line package genetics and molecular biology bioinformatics youtube video everyone training team ncbi
L002181112,ncbi minute enhancements to blast and primer blast,https://www.youtube.com/watch?v=LnkNhyTz4lo,webinar on recent changes to blast and primer blast,MP4 Video,youtube video,42.0,genetics and molecular biology,training team ncbi,everyone educator,ncbi minute enhancements to blast and primer blast webinar on recent changes to blast and primer blast genetics and molecular biology youtube video everyone educator training team ncbi
L001522112,ncbi minute exploring sra metadata in the cloud with bigquery,https://www.youtube.com/watch?v=DkNz-RCCm-M,ncbi staff will show you how to use google bigquery to quickly search the data from the sequence read archive sra database to speed up your bioinformatic research and discovery projects bigquery is tool that enables you to explore cloud based data tables with sql like queries in this webinar we introduce you to using bigquery to mine sra submitter supplied metadata and the results of taxonomic analysis for sra runs you ll see real world case studies that show how find key information about sra runs and identify data sets for your own analysis pipelines,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute exploring sra metadata in the cloud with bigquery ncbi staff will show you how to use google bigquery to quickly search the data from the sequence read archive sra database to speed up your bioinformatic research and discovery projects bigquery is tool that enables you to explore cloud based data tables with sql like queries in this webinar we introduce you to using bigquery to mine sra submitter supplied metadata and the results of taxonomic analysis for sra runs you ll see real world case studies that show how find key information about sra runs and identify data sets for your own analysis pipelines genetics and molecular biology youtube video everyone training team ncbi
L002384112,ncbi minute finding data for your research organism plants and rna seq,https://www.youtube.com/watch?v=BBBKt7Z3bt8,learn how to use ncbi web resources find and access gene and sequence data from datasets and other ncbi web resources as well as sample metadata and gene expression rna seq data from sra and the sra run selector also see an example that highlights how to use these data in typical workflow set up in jupyter notebook,MP4 Video,youtube video,33.0,genetics and molecular biology other,training team ncbi,everyone educator,ncbi minute finding data for your research organism plants and rna seq learn how to use ncbi web resources find and access gene and sequence data from datasets and other ncbi web resources as well as sample metadata and gene expression rna seq data from sra and the sra run selector also see an example that highlights how to use these data in typical workflow set up in jupyter notebook genetics and molecular biology other youtube video everyone educator training team ncbi
L001576112,ncbi minute five teaching examples using blast,https://www.youtube.com/watch?v=JKD5laNtwSc&t=5s,sequence similarity search tools such as blast are fundamental to modern biology and are now taught to students in undergraduate biology classes or earlier we have many standard demonstrations that we use to highlight the features of blast these examples are also useful for teaching biology principles and techniques including evolution taxonomy homology multiple sequence alignment phylogenetic trees primer design and gene expression analysis this webinar will provide you with examples using ncbi blast that explore these principles and techniques that you can readily adapt to your classrooms,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute five teaching examples using blast sequence similarity search tools such as blast are fundamental to modern biology and are now taught to students in undergraduate biology classes or earlier we have many standard demonstrations that we use to highlight the features of blast these examples are also useful for teaching biology principles and techniques including evolution taxonomy homology multiple sequence alignment phylogenetic trees primer design and gene expression analysis this webinar will provide you with examples using ncbi blast that explore these principles and techniques that you can readily adapt to your classrooms genetics and molecular biology youtube video everyone training team ncbi
L000722112,ncbi minute five teaching examples using ncbi blast,https://www.youtube.com/watch?v=JKD5laNtwSc&feature=youtu.be,sequence similarity search tools such as blast are fundamental to modern biology and are now taught to students in undergraduate biology classes or earlier we have many standard demonstrations that we use to highlight the features of blast these examples are also useful for teaching biology principles and techniques including evolution taxonomy homology multiple sequence alignment phylogenetic trees primer design and gene expression analysis this webinar will provide you with examples using ncbi blast that explore these principles and techniques that you can readily adapt to your classrooms,MP4 Video,webinar,30.0,genetics and molecular biology bioinformatics,training team ncbi,everyone,ncbi minute five teaching examples using ncbi blast sequence similarity search tools such as blast are fundamental to modern biology and are now taught to students in undergraduate biology classes or earlier we have many standard demonstrations that we use to highlight the features of blast these examples are also useful for teaching biology principles and techniques including evolution taxonomy homology multiple sequence alignment phylogenetic trees primer design and gene expression analysis this webinar will provide you with examples using ncbi blast that explore these principles and techniques that you can readily adapt to your classrooms genetics and molecular biology bioinformatics webinar everyone training team ncbi
L001578112,ncbi minute getting the genomic context for blast protein matches,https://www.youtube.com/watch?v=5ueWbp0tVvA,do you ever want to see the flanking genes of protein match from blast search while this genomic context is invisible in protein protein blast results it is only few clicks away in this webinar you will learn to view the genomic context of bacterial proteins using the identical protein report and the graphical sequence viewer you will also learn to use these reports in detail and see how to retrieve and analyze them using edirect,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute getting the genomic context for blast protein matches do you ever want to see the flanking genes of protein match from blast search while this genomic context is invisible in protein protein blast results it is only few clicks away in this webinar you will learn to view the genomic context of bacterial proteins using the identical protein report and the graphical sequence viewer you will also learn to use these reports in detail and see how to retrieve and analyze them using edirect genetics and molecular biology youtube video everyone training team ncbi
L001570112,ncbi minute getting the most from track hubs in ncbi genome data viewer,https://www.youtube.com/watch?v=PXYOV3oswB8,we first made track hubs available in genome data viewer gdv in june 2018 and continue to improve and refine how they function this webinar intended for both new and experienced track hub users will describe what track hubs are and how they can help you in your research you will see how to find hubs of interest easily through browser integrated search of the track hub registry you learn how you can use track hubs together with ncbi provided tracks to help you analyze aspects of particular gene or protein you will also see how you can share your gdv tracks including those added from track hubs with your peers,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute getting the most from track hubs in ncbi genome data viewer we first made track hubs available in genome data viewer gdv in june 2018 and continue to improve and refine how they function this webinar intended for both new and experienced track hub users will describe what track hubs are and how they can help you in your research you will see how to find hubs of interest easily through browser integrated search of the track hub registry you learn how you can use track hubs together with ncbi provided tracks to help you analyze aspects of particular gene or protein you will also see how you can share your gdv tracks including those added from track hubs with your peers genetics and molecular biology youtube video everyone training team ncbi
L001582112,ncbi minute getting the most out of web blast tabular format,https://www.youtube.com/watch?v=BIBL-wYhAl4,the ncbi web blast service has number of useful download formats including the traditional pairwise output tabular formats and highly structured formats all of these allow you to easily save your blast results for later processing editing and annotating the tabular formats are popular as they are human readable and can easily be imported into spreadsheet programs one drawback is that the tabular formats contain limited information about your results through this webinar you will learn to use basic unix tools and the ncbi edirect suite of programs to expand and enhance your tabular saved blast results you will see how to add useful information such as taxonomy sequence titles and links to sequence records and publications,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute getting the most out of web blast tabular format the ncbi web blast service has number of useful download formats including the traditional pairwise output tabular formats and highly structured formats all of these allow you to easily save your blast results for later processing editing and annotating the tabular formats are popular as they are human readable and can easily be imported into spreadsheet programs one drawback is that the tabular formats contain limited information about your results through this webinar you will learn to use basic unix tools and the ncbi edirect suite of programs to expand and enhance your tabular saved blast results you will see how to add useful information such as taxonomy sequence titles and links to sequence records and publications genetics and molecular biology youtube video everyone training team ncbi
L001575112,ncbi minute hey professors get your free personal assistant an ncbi account,https://www.youtube.com/watch?v=WIYArgdnWTA,this webinar will show you how to use an ncbi account to help you keep up with things you often need to do you will see how to maintain custom collections of important records for use in coursework and research projects create lists of publications or database records to send to your courses journal clubs and research teams get automated updates when new publications or database records are available maintain your bibliography and create url to share and post on for your faculty profile format your s gov biosketch with click of mouse and keep track of everything right on your my ncbi dashboard,MP4 Video,youtube video,Unknown,my ncbi,training team ncbi,everyone,ncbi minute hey professors get your free personal assistant an ncbi account this webinar will show you how to use an ncbi account to help you keep up with things you often need to do you will see how to maintain custom collections of important records for use in coursework and research projects create lists of publications or database records to send to your courses journal clubs and research teams get automated updates when new publications or database records are available maintain your bibliography and create url to share and post on for your faculty profile format your s gov biosketch with click of mouse and keep track of everything right on your my ncbi dashboard my ncbi youtube video everyone training team ncbi
L001533112,ncbi minute human population genetic data at ncbi,https://www.youtube.com/watch?v=5CzjOI3-qOU,population variation frequency information can help assess the potential impact of human genetic variants this webinar introduces you to the population variation datasets at ncbi such as 1000 genomes exac gnomad and topmed that are currently included on dbsnp records you will learn how to find the data and how you can use this information to interpret and prioritize variants for further study you will also see preview new initiative the dbgap allele frequency aggregator alfa that is based on more than 150 000 subjects in 60 dbgap studies the initial alfa public release will include population allele frequencies for more than 500 million known genetic variations and more than 20 million novel variations we will provide the alfa data on dbsnp and clinvar records on the ftp site for bulk download and the spdi apis for scripting access,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute human population genetic data at ncbi population variation frequency information can help assess the potential impact of human genetic variants this webinar introduces you to the population variation datasets at ncbi such as 1000 genomes exac gnomad and topmed that are currently included on dbsnp records you will learn how to find the data and how you can use this information to interpret and prioritize variants for further study you will also see preview new initiative the dbgap allele frequency aggregator alfa that is based on more than 150 000 subjects in 60 dbgap studies the initial alfa public release will include population allele frequencies for more than 500 million known genetic variations and more than 20 million novel variations we will provide the alfa data on dbsnp and clinvar records on the ftp site for bulk download and the spdi apis for scripting access genetics and molecular biology youtube video everyone training team ncbi
L001579112,ncbi minute improved standalone blast databases and programs now with taxonomic information,https://www.youtube.com/watch?v=ZZ_K_7-rZj4,limiting blast search to particular organism or group is important for efficient blast searches and results that are easier to interpret especially as the databases continue to grow in size the latest standalone blast databases dbv5 have built in taxonomy information and provide faster sequence access using identifiers using taxonomy limits in your searches is easier than ever when you use these new databases with the blast programs in the alpha release 2 8 0 through this webinar you will learn how to download and use blastdbv5 and the new blast programs to limit searches to taxonomic groups and to retrieve sequences from the database by taxonomy without the often difficult step of first downloading an identifier list,MP4 Video,youtube video,Unknown,genetics and molecular biology,training team ncbi,everyone,ncbi minute improved standalone blast databases and programs now with taxonomic information limiting blast search to particular organism or group is important for efficient blast searches and results that are easier to interpret especially as the databases continue to grow in size the latest standalone blast databases dbv5 have built in taxonomy information and provide faster sequence access using identifiers using taxonomy limits in your searches is easier than ever when you use these new databases with the blast programs in the alpha release 2 8 0 through this webinar you will learn how to download and use blastdbv5 and the new blast programs to limit searches to taxonomic groups and to retrieve sequences from the database by taxonomy without the often difficult step of first downloading an identifier list genetics and molecular biology youtube video everyone training team ncbi
L001580112,ncbi minute integrating pubchem into your chemistry teaching,https://www.youtube.com/watch?v=pk24nxCIXRg,pubchem is one of most visited chemistry web sites in the world with more than 2 9 million unique users per month this ncbi minute shows how you can integrate pubchem in your chemistry teaching as cheminformatics education resource in addition to learning about tools and services for search analysis and download of chemical information you will see how pubchem has been incorporated in cheminformatics olcc on line chemistry courses an intercollegiate hybrid course,MP4 Video,youtube video,Unknown,other,training team ncbi,everyone,ncbi minute integrating pubchem into your chemistry teaching pubchem is one of most visited chemistry web sites in the world with more than 2 9 million unique users per month this ncbi minute shows how you can integrate pubchem in your chemistry teaching as cheminformatics education resource in addition to learning about tools and services for search analysis and download of chemical information you will see how pubchem has been incorporated in cheminformatics olcc on line chemistry courses an intercollegiate hybrid course other youtube video everyone training team ncbi
L002642112,ncbi minute introducing the updated pubmed utilities api,https://www.youtube.com/watch?v=aETx4MyXukk&t=5s,an updated version of the utilities api for pubmed on april 4 2022 learn about how these changes will affect your api calls to pubmed,MP4 Video,youtube video,35.0,pubmed,training team ncbi,everyone educator,ncbi minute introducing the updated pubmed utilities api an updated version of the utilities api for pubmed on april 4 2022 learn about how these changes will affect your api calls to pubmed pubmed youtube video everyone educator training team ncbi
L002381112,ncbi minute my ncbi password retirement update wizard demo,https://www.youtube.com/watch?v=qMNvBsDVa_I,in this webinar you will learn what you need to do to link third party login using our wizard get an updated timeline for the transition of third party logins and get answers to your questions,MP4 Video,youtube video,33.0,my ncbi other,training team ncbi,everyone educator,ncbi minute my ncbi password retirement update wizard demo in this webinar you will learn what you need to do to link third party login using our wizard get an updated timeline for the transition of third party logins and get answers to your questions my ncbi other youtube video everyone educator training team ncbi
